"","ID","NC.1","NC.2","NC.3","NP.2","NP.4","NP.6","NC.4","NC.5","NC.6","NP.1","NP.3","NP.5","logFC","logCPM","PValue","FDR"
"2514","GB44894",687,569,940,502,362,538,416,196,520,1148,515,876,0.112012467464888,6.41158205214284,0.67688584089045,1
"2515","GB44895",414,315,354,282,174,182,146,111,290,433,295,218,-0.160099274492746,5.27465967374413,0.531560706592114,1
"2516","GB44896",172,127,218,128,57,128,62,38,130,152,109,120,-0.172454420255452,4.08101383743506,0.470689087616602,1
"2517","GB44897",167,95,456,179,64,308,62,47,186,199,164,296,0.291339133578142,4.6278508639364,0.3482312806838,1
"2518","GB44898",475,334,394,366,252,351,282,103,359,422,398,424,0.0571720329310223,5.65836580250245,0.814361558862381,1
"2519","GB44899",241,367,931,555,132,374,76,422,182,216,232,399,-0.466654637581755,5.6705382184908,0.274921059287349,1
"2520","GB44900",443,323,751,469,211,468,234,128,335,430,310,468,0.0279943588863413,5.7303619312373,0.90037921066787,1
"2521","GB44901",333,227,303,225,157,216,151,99,230,296,244,262,-0.0705770807896542,5.0606081369077,0.744500676729794,1
"2522","GB44902",149,114,178,171,98,117,119,65,151,181,146,115,-0.0843357586920459,4.32480135559058,0.7099556397301,1
"2523","GB44903",321,185,388,254,89,213,93,151,241,373,150,251,-0.248601482318503,5.01299621516456,0.342797118601666,1
"2524","GB44904",86,55,198,80,24,118,43,23,89,128,70,121,0.0876280198539696,3.56128366438364,0.774087492578479,1
"2525","GB44905",228,168,379,233,108,244,127,67,199,200,154,224,-0.0763663136708503,4.7777657287498,0.731241730145782,1
"2526","GB44906",351,283,699,365,183,425,156,97,317,389,276,426,0.0994915683787667,5.50558749579746,0.663312395613579,1
"2527","GB44907",1142,859,1123,804,555,792,562,349,942,1444,873,960,-0.0250520234708783,6.96420851421467,0.92779408083768,1
"2528","GB44909",439,234,548,376,165,356,196,103,302,357,321,369,0.0222440971178152,5.46027803819339,0.919337456037656,1
"2529","GB44910",274,282,398,326,148,281,153,126,229,259,252,347,-0.0115894004836765,5.21532359402028,0.953069866848602,1
"2530","GB44911",25,26,26,32,14,18,12,10,20,29,29,20,0.107873888009091,1.77906408525003,0.790120529090411,1
"2531","GB44912",136,119,253,145,70,150,68,44,91,118,127,184,0.108431054036617,4.14440587883031,0.627520669490901,1
"2532","GB44914",182,135,127,103,80,67,55,46,75,134,92,97,-0.217345702958633,3.87750168567835,0.430382987186269,1
"2533","GB44917",181,131,33,49,37,21,14,40,59,56,43,37,-1.04460082295932,3.16806573847461,0.0320650305132864,1
"2534","GB44918",72,62,118,56,39,67,40,21,47,77,50,86,-0.0142467486487589,3.14735902359644,0.986282020811501,1
"2535","GB44925",277,208,295,189,182,182,157,159,201,549,252,275,0.0822882908480684,5.18163744238528,0.76501579617088,1
"2536","GB44926",129,115,185,145,73,126,80,81,152,145,101,139,-0.227938063729326,4.19682223658795,0.317814449144454,1
"2537","GB44927",158,131,218,154,87,134,75,63,134,196,152,182,0.0893157136946812,4.34139268733194,0.683542583612151,1
"2538","GB44929",71,52,93,68,55,78,44,28,84,73,63,64,-0.00192448514260682,3.27808074789937,1,1
"2539","GB44930",412,243,710,378,180,432,144,98,357,365,379,493,0.180194355221691,5.57900895545415,0.468846923858141,1
"2540","GB44931",330,295,208,209,248,117,190,214,220,640,240,210,-0.127099897574001,5.33934428138268,0.709616073179781,1
"2541","GB44933",54,44,147,77,19,92,40,16,35,59,51,86,0.15993708053168,3.06465933018278,0.598828763502441,1
"2542","GB44934",166,119,287,134,76,160,63,33,138,194,167,186,0.183357738237708,4.30763629815125,0.438276635945548,1
"2543","GB44935",955,743,1244,902,462,905,487,321,605,821,678,948,0.000383977272063196,6.7535657023803,1,1
"2544","GB44937",334,215,247,191,153,175,212,108,341,335,322,264,-0.208525671781133,5.17457383162728,0.39252284945567,1
"2545","GB44938",173,162,256,166,102,154,115,80,131,330,143,194,0.0674444689122487,4.59629638817141,0.788625440795444,1
"2546","GB44939",744,507,856,757,334,713,314,392,395,541,398,765,-0.0795724519309634,6.3595543561486,0.774567722436161,1
"2547","GB44940",212,172,310,201,118,170,107,98,148,179,145,188,-0.186027011226573,4.64369571250101,0.392022953257388,1
"2548","GB44941",503,484,1335,655,253,798,242,144,402,497,442,806,0.174552236444964,6.19776380126143,0.526220031232269,1
"2549","GB44942",21,35,28,33,23,21,18,14,30,47,28,29,0.109608355579356,2.10802951573325,0.791793284229591,1
"2550","GB44943",254,141,288,192,86,151,88,75,127,147,160,171,-0.182389672978946,4.48716796754171,0.419276647932394,1
"2551","GB44944",28,24,110,34,21,51,19,7,47,44,31,53,0.043963812047406,2.46198327105484,0.86537555420857,1
"2552","GB44946",432,331,586,457,217,501,210,177,384,425,329,545,0.0775526548077077,5.77675078373633,0.744234972506488,1
"2553","GB44949",96,75,173,97,51,59,45,46,43,68,85,104,-0.120857336935146,3.51640222916376,0.657002266973289,1
"2554","GB44950",111,68,64,76,66,27,50,33,62,73,76,45,-0.219339812903301,3.28078523958089,0.519345730515535,1
"2555","GB44959",102,133,422,208,67,137,45,19,110,82,116,165,0.0405021145158969,4.13968954543957,0.870961795746004,1
"2556","GB44960",567,352,654,568,273,655,212,94,331,457,340,557,0.338194742055228,5.86857781023212,0.176597239239024,1
"2557","GB44961",19,24,78,44,12,16,19,12,12,26,11,31,-0.284867499694832,1.90095705864921,0.431009669104456,1
"2558","GB44962",16,27,106,61,6,34,18,5,14,25,32,33,0.107026133913942,2.12571925720232,0.773513772548864,1
"2559","GB44963",80,41,80,72,33,44,52,26,73,63,71,91,-0.0831063200532249,3.17626743514119,0.733547882523738,1
"2560","GB44964",234,161,330,208,106,161,129,90,162,251,223,198,-0.0705212587089402,4.76070834286284,0.735242124602995,1
"2561","GB44965",24,20,98,47,8,73,16,1,16,30,15,58,0.514152317297599,2.21060700501841,0.248564511991901,1
"2562","GB44966",273,184,775,522,123,670,145,46,208,259,151,552,0.545913759762963,5.41420216633068,0.124555981299198,1
"2563","GB44967",564,765,521,504,527,315,377,348,514,1392,437,523,-0.0111371544003444,6.4160243137147,0.973045012357037,1
"2564","GB44969",340,224,697,334,227,315,213,113,345,349,365,409,0.0233424574023829,5.52959911148415,0.916748671839584,1
"2565","GB44970",82,44,74,35,29,38,19,15,55,63,60,46,-0.133292290605105,2.77236047264323,0.689372984843586,1
"2566","GB44971",38,24,26,17,20,32,15,18,36,49,26,30,-0.0530353645308947,2.12537914658232,0.843452605160518,1
"2567","GB44972",512,387,658,438,326,312,213,476,208,223,350,369,-0.530154547105406,5.89097461417108,0.154639228713631,1
"2568","GB44976",347,173,480,362,151,203,175,90,140,133,240,187,-0.162516753414711,4.99412512295111,0.544291872415878,1
"2569","GB44978",48,30,104,51,22,48,31,11,39,36,37,59,-0.07793271399356,2.6254152077758,0.824935251475955,1
"2570","GB44980",91,105,347,147,74,216,36,27,157,104,42,234,0.168020996864636,4.14252802165939,0.632923138869079,1
"2571","GB44981",35,49,144,90,38,83,32,11,61,151,54,99,0.609794298801406,3.27916393817616,0.0715210250031519,1
"2572","GB44982",488,235,579,981,151,642,255,50,238,259,221,787,0.647006069811626,5.77346672501398,0.0925728862439514,1
"2573","GB44983",716,888,1473,873,503,809,453,249,618,2156,416,986,0.267623191672507,6.85374445382473,0.423963951199015,1
"2574","GB44984",183,121,223,142,90,199,107,65,140,207,116,209,0.0465473057056487,4.4434612838866,0.848586739111787,1
"2575","GB44985",525,392,675,627,266,608,271,174,477,604,449,529,0.165217880992356,6.05146858874321,0.491764088680342,1
"2576","GB44987",207,173,268,135,91,170,116,99,150,94,141,273,-0.329417453517133,4.5665691554314,0.221008564670556,1
"2577","GB44988",451,343,94,203,115,89,83,234,144,170,333,112,-0.70063844835828,4.99798018902985,0.132643973242989,1
"2578","GB44990",120,115,164,82,77,108,59,66,115,151,117,98,-0.160684130444694,3.99015590772291,0.51589605834805,1
"2579","GB44991",1549,1197,2255,1791,676,1269,683,585,799,1076,1118,1419,-0.0465730013174121,7.4111209864342,0.869768922772947,1
"2580","GB44992",74,58,144,83,37,88,41,22,67,68,76,75,0.0305439514567902,3.31203567318601,0.903669178923996,1
"2581","GB44994",21644,24917,12958,16121,18673,10469,14022,11857,21860,48199,19744,19296,0.0151369114323074,11.5692750735336,0.968274219005397,1
"2582","GB44996",103,129,266,473,221,575,118,217,65,52,77,524,0.684194310851597,5.17559429174149,0.206220374174775,1
"2583","GB44997",43,33,179,76,16,84,16,2,43,36,31,96,0.277597476361551,2.83694318366618,0.506303753060301,1
"2584","GB45000",438,98,504,184,124,415,308,25,88,259,163,465,0.107936720107299,5.13456996686823,0.796688974922964,1
"2585","GB45001",71,67,239,106,23,77,23,32,76,57,75,88,-0.231472190016699,3.40928426596075,0.482982834833442,1
"2586","GB45008",258,226,372,264,162,311,145,101,238,386,205,351,0.184827225378483,5.16945652470166,0.403056221824748,1
"2587","GB45009",506,551,662,437,293,392,312,715,244,306,440,361,-0.811679521743352,6.18448971419294,0.0488933945283208,1
"2588","GB45012",28,23,84,40,20,69,14,10,49,31,24,57,0.204562129949576,2.43130341877421,0.544277224104583,1
"2589","GB45013",121,28,24,39,19,17,15,42,23,24,47,32,-0.743323643391819,2.52657774674899,0.123671618752718,1
"2590","GB45014",30,35,102,47,21,75,18,8,25,50,24,81,0.468542188331809,2.58806512345578,0.173048523790841,1
"2591","GB45015",24,17,43,22,17,24,11,11,11,27,25,33,0.271201793069755,1.76849157038846,0.402799583548841,1
"2592","GB45017",2598,2888,1673,2062,2273,1054,1608,2798,1467,3335,2158,1455,-0.463846331895274,8.46302772760536,0.282141533436083,1
"2593","GB45018",162,154,333,165,88,217,78,55,190,184,164,195,0.01491547535509,4.53759348725101,0.943406465556459,1
"2594","GB45019",66,46,176,89,50,45,47,39,57,84,73,85,-0.0803776196075445,3.37305817970557,0.780924872431618,1
"2595","GB45023",707,821,4839,1129,357,892,696,207,1055,730,954,1247,-0.48646546640411,7.16417762660675,0.22016272367206,1
"2596","GB45024",1018,634,1415,785,607,839,581,270,907,1204,756,1001,0.0328419772043006,6.88659076945397,0.903832272505832,1
"2597","GB45025",897,849,1088,750,672,760,776,731,882,1814,607,1089,-0.203526181368351,7.11853818489957,0.514240424338782,1
"2598","GB45026",1429,1723,1137,1218,1154,751,875,1437,797,2531,952,1010,-0.34705843160904,7.65076070614013,0.388581406955996,1
"2599","GB45028",1255,717,2549,3284,773,2330,632,233,825,1072,621,2367,0.758798985785353,7.52848713443008,0.0483161207798598,1
"2600","GB45029",361,333,390,363,117,177,192,140,161,69,321,195,-0.483847483057303,5.12965480600209,0.166180633378586,1
"2601","GB45034",74,45,150,68,36,71,55,12,61,79,73,64,-0.0309059867207018,3.21912959504986,0.954688590043411,1
"2602","GB45035",119,85,49,68,27,24,26,46,28,46,65,28,-0.667513024170887,2.99662512708371,0.110996783389468,1
"2603","GB45036",813,477,1154,696,298,595,421,146,402,453,710,524,-0.0629975070957394,6.27788047476141,0.823774077677528,1
"2604","GB45037",1416,1379,1409,1295,1384,807,1200,1067,1265,1835,1388,1157,-0.235597936734057,7.68361343975813,0.491485873325562,1
"2605","GB45038",80,100,274,108,58,143,47,35,89,131,62,182,0.117720300445031,3.90523322975603,0.671288088980221,1
"2606","GB45039",361,344,391,299,267,250,246,207,255,492,355,284,-0.104410940131926,5.57210815080508,0.685294609083938,1
"2607","GB45040",966,655,2677,747,446,949,155,169,432,645,600,921,-0.0118514288384994,6.64013946506238,0.976263089418079,1
"2608","GB45041",211,117,284,179,87,171,124,73,191,240,148,225,-0.0746972214216447,4.61378712925437,0.719813494982713,1
"2609","GB45044",201,126,497,264,75,193,141,44,218,280,188,276,0.026425251138912,4.81527177739827,0.917424097874018,1
"2610","GB45045",43,44,51,44,30,45,20,10,39,30,34,39,0.030024043658761,2.43726842113686,0.896731529003323,1
"2611","GB45046",33,30,86,36,24,48,20,19,44,39,23,52,-0.137997091148944,2.48693391893627,0.651248842387139,1
"2612","GB45047",231,170,524,242,120,323,145,124,317,368,184,429,0.00454433348276259,5.21690675719546,0.994933991445276,1
"2613","GB45051",804,606,614,556,411,379,354,465,336,368,604,438,-0.427341836193758,6.27774879786604,0.206012497294219,1
"2614","GB45052",1478,951,2005,1252,638,747,521,609,1052,696,1533,715,-0.30564522986027,7.20802706702639,0.356499741244055,1
"2615","GB45055",356,251,142,169,94,61,42,155,35,75,145,93,-0.823741428056851,4.40748579258783,0.087302364261018,1
"2616","GB45056",39,41,48,26,22,26,21,2,22,38,33,35,0.0301241407880799,2.13792905526427,0.874936449359779,1
"2617","GB45057",323,291,878,534,247,399,220,88,266,329,398,474,0.241473866426854,5.66710387368188,0.342094045954927,1
"2618","GB45071",215,198,465,324,137,305,122,90,203,230,250,219,0.127448094790133,5.02224704586149,0.570415385887216,1
"2619","GB45073",1725,1043,5700,3635,1347,1689,791,256,1020,886,663,1499,0.0994165297350096,7.76994383821047,0.772495472200737,1
"2620","GB45077",87,62,89,86,47,54,53,51,69,77,70,72,-0.23782447654275,3.39385972617105,0.351598423631987,1
"2621","GB45082",113,82,279,153,54,148,49,31,112,122,87,154,0.114810152137989,3.97575347390621,0.640179626381734,1
"2622","GB45083",264,225,230,193,194,158,181,168,189,474,193,204,-0.115255591941307,5.09916448685946,0.675288980824871,1
"2623","GB45084",208,148,186,186,88,133,96,85,140,176,151,172,-0.12077204372998,4.45059524517796,0.582936707475583,1
"2624","GB45086",149,141,213,142,103,155,79,64,125,173,129,153,0.0335583402604574,4.31224651930803,0.889562874864429,1
"2625","GB45087",800,538,639,460,305,352,274,204,448,594,489,579,-0.178327340673594,6.09228035274887,0.485334182267467,1
"2626","GB45092",304,245,194,210,144,98,140,148,135,131,169,189,-0.529993801127025,4.77980780644361,0.0977039607897673,1
"2627","GB45094",26,19,101,44,9,44,12,4,21,32,28,44,0.235843069253116,2.1412810153263,0.484337837718829,1
"2628","GB45095",275,188,417,253,142,219,175,133,211,306,243,238,-0.148827419391457,5.09281020468201,0.480120867243437,1
"2629","GB45096",67,47,58,44,19,49,32,28,37,40,20,61,-0.422308016462846,2.67556897555484,0.164111621727733,1
"2630","GB45098",149,100,278,173,60,143,57,42,123,109,101,154,-0.0433235461324471,4.10507005268662,0.877040228188123,1
"2631","GB45099",5773,7008,2531,3970,6019,1687,3797,4965,2859,10980,4206,3196,-0.212070569299958,9.60158640933225,0.655047868491361,1
"2632","GB45101",236,226,234,181,51,119,28,21,79,175,99,215,0.0157039494108446,4.21838087924428,0.953473079483073,1
"2633","GB45102",200,131,211,165,100,100,143,152,153,187,136,153,-0.535110878222861,4.58311128425931,0.0538010965959672,1
"2634","GB45105",185,149,211,151,78,136,82,62,113,223,122,158,-0.0288574040293225,4.32439322211759,0.893645799528533,1
"2635","GB45106",57,31,70,37,25,39,13,10,26,41,21,43,-0.0171102554441309,2.32333403528105,1,1
"2636","GB45107",248,158,276,150,145,148,117,60,156,220,120,246,-0.0521209684187183,4.61786377074234,0.836989005708789,1
"2637","GB45110",591,458,410,374,430,236,381,201,273,333,191,269,-0.455626867622559,5.75272261861413,0.177396016289129,1
"2638","GB45111",421,332,266,304,169,192,171,341,174,192,264,243,-0.676115248996843,5.37963480798804,0.0672560108038705,1
"2639","GB45113",1159,1162,1067,828,873,714,686,701,832,2209,877,935,-0.067316922285417,7.2470762269467,0.838770220990064,1
"2640","GB45114",1591,1417,2249,1695,892,1294,1075,374,1106,1267,1794,1575,0.0593913432650639,7.59811135020442,0.840455846836584,1
"2641","GB45115",1700,1089,1402,1084,522,1390,549,316,802,1222,1695,1339,0.235350014612598,7.26165207165256,0.452595761584349,1
"2642","GB45119",646,495,799,512,324,548,350,321,556,1084,458,638,-0.0460409513577014,6.34684781658553,0.856097245699282,1
"2643","GB45120",36,36,45,48,20,32,35,18,36,29,29,51,-0.188703626246816,2.42751695876752,0.500824030473614,1
"2644","GB45122",245,227,193,163,202,156,189,149,204,335,192,264,-0.148632091962999,5.03218745396797,0.580381742474243,1
"2645","GB45123",45,31,110,70,16,71,14,11,38,29,30,61,0.17735801361721,2.61161192771386,0.562417155443318,1
"2646","GB45125",637,421,700,524,338,510,378,243,705,826,577,643,-0.0273891129516216,6.30134476878878,0.909818950581852,1
"2647","GB45126",553,522,770,502,301,474,275,352,446,520,534,489,-0.239540867597578,6.15746110629013,0.360578120520078,1
"2648","GB45127",346,219,647,354,181,364,156,75,323,373,283,411,0.154892763295567,5.4121610046424,0.509152478416544,1
"2649","GB45128",708,427,1440,722,361,1046,402,206,612,749,527,1004,0.182755640245356,6.55185306669767,0.520083439400625,1
"2650","GB45131",28,23,109,56,15,63,8,3,15,22,27,42,0.454721096408442,2.22941114809466,0.198332809922935,1
"2651","GB45133",161,154,247,165,94,176,91,56,123,188,121,164,0.0243860359206338,4.38161291855871,0.912998254194225,1
"2652","GB45134",243,168,323,222,156,199,171,106,182,239,182,247,-0.0891265686221121,4.91028588810995,0.674634100281513,1
"2653","GB45135",28,26,143,57,18,68,13,24,39,25,41,87,0.124306266822205,2.73493290045789,0.755952885768442,1
"2654","GB45137",468,370,264,368,190,176,179,128,314,391,340,277,-0.157339168396225,5.41232144936167,0.565348562908688,1
"2655","GB45138",178,149,762,425,78,202,65,19,117,100,89,286,0.0771742146808573,4.67996570041911,0.824617045397543,1
"2656","GB45139",222,210,48,51,31,29,8,32,32,61,38,23,-1.31871095407851,3.28337967208335,0.0125910035598452,1
"2657","GB45140",97,105,204,181,55,68,43,18,63,54,70,118,0.0607391742919197,3.63295957477255,0.809923110402444,1
"2658","GB45141",2265,1863,2445,2824,1094,947,1623,1240,1549,1050,2002,1320,-0.469895195088847,8.00918390161369,0.192170108294395,1
"2659","GB45142",1414,1466,1236,1215,1119,503,448,1695,443,542,1179,476,-0.721999014119718,7.39271363189287,0.16449672641738,1
"2660","GB45145",548,347,613,465,292,273,188,97,380,352,470,427,0.071961223896828,5.71093657973988,0.772225768755508,1
"2661","GB45146",101,69,157,64,41,113,57,34,117,113,89,107,-0.128979165614664,3.67527231191713,0.608935839916831,1
"2662","GB45147",922,789,4889,1737,652,2471,633,173,1044,1515,832,1681,0.258269146543994,7.51747159728386,0.501451872678429,1
"2663","GB45148",1638,1300,2449,1822,1123,1817,1100,587,1426,1518,1409,1748,0.0511732736401187,7.75214055472705,0.853562023743387,1
"2664","GB45149",259,511,1924,410,154,339,368,88,458,368,291,301,-0.843481477264278,5.88571685287004,0.0278874383387422,1
"2665","GB45150",247,246,141,118,81,68,84,114,50,91,103,91,-0.888030723205696,4.2331032379059,0.0254461123448674,1
"2666","GB45151",1617,821,6079,2608,942,1698,972,230,804,1162,1084,2068,0.0646576532150929,7.73221280976112,0.86070573501925,1
"2667","GB45152",3850,2108,9951,4261,2302,2539,1942,854,1510,2381,2662,3420,-0.0665564015978626,8.71322688480694,0.838865502868352,1
"2668","GB45153",61,113,144,94,53,51,29,23,52,260,47,87,0.382770187873794,3.55206589758455,0.304875754800691,1
"2669","GB45154",84,31,81,69,39,80,48,34,64,76,69,83,0.103260004642838,3.24701737365878,0.741394009927593,1
"2670","GB45155",92,74,194,105,41,99,36,18,82,122,62,98,0.0869216093651171,3.54659080682888,0.717562503210092,1
"2671","GB45156",390,302,429,351,204,300,208,142,231,442,224,341,-0.0313527278612353,5.43074656673371,0.886204374778676,1
"2672","GB45157",301,247,135,58,105,97,74,36,97,174,270,157,-0.0806281122674332,4.41541314793322,0.842952286523562,1
"2673","GB45158",82,71,54,71,50,37,42,37,56,113,67,54,-0.0311461016211973,3.23600393304927,0.905502041175571,1
"2674","GB45159",92,77,272,110,64,64,21,26,75,100,103,81,0.0215733271497217,3.62234469807169,0.919931029351067,1
"2675","GB45167",441,381,1076,805,209,440,198,57,334,314,303,536,0.142395865418882,5.80544090662961,0.620246009773136,1
"2676","GB45168",61,49,124,112,27,51,20,13,38,17,33,67,0.0311345733611699,2.83579556645892,0.895135106128659,1
"2677","GB45169",1982,1561,2970,2449,991,1553,772,554,1016,1097,1212,1681,-0.00766800096806716,7.69648795144814,0.979494323230744,1
"2678","GB45170",1305,334,968,356,562,822,822,167,418,875,589,872,-0.0524427018238437,6.60948078331606,0.88778093833327,1
"2679","GB45171",827,526,1055,635,395,675,477,235,660,820,735,799,3.55717810026838e-05,6.5420998317835,1,1
"2680","GB45172",446,269,448,422,266,324,304,211,347,336,310,418,-0.168790662407835,5.68877351921566,0.492806376172432,1
"2681","GB45174",5238,5220,4221,3956,2223,1396,2984,1545,2933,6101,3089,4046,-0.291677922833871,9.02600187150581,0.402849688997976,1
"2682","GB45175",265,184,372,239,142,223,134,74,200,302,182,285,0.0746727918688857,4.93926147991447,0.717612411997098,1
"2683","GB45177",23,26,57,32,12,44,11,40,21,19,21,32,-0.451660829382575,2.18378170357274,0.261438160840743,1
"2684","GB45179",620,345,760,491,294,629,363,181,463,575,475,578,0.042431381188673,6.10642679839628,0.862727199012901,1
"2685","GB45180",40,25,45,48,23,26,27,23,29,52,46,50,0.167681069851248,2.48203553002964,0.632291379752392,1
"2686","GB45181",514,334,1186,621,265,663,340,174,496,638,491,727,0.114410459761106,6.20776316783501,0.658064237836058,1
"2687","GB45183",245,181,278,209,109,154,121,100,205,262,214,216,-0.122110772887248,4.80469774757328,0.558336843109719,1
"2688","GB45184",369,484,1018,350,286,478,258,198,565,443,238,611,-0.331320769582147,5.96725795702089,0.235963006950251,1
"2689","GB45185",260,151,492,236,133,273,110,57,216,235,178,265,0.0575904938142765,4.89807063345429,0.787075548653346,1
"2690","GB45186",56,51,41,43,28,33,46,40,45,55,45,30,-0.555504371834887,2.7994360043948,0.0883967798841294,1
"2691","GB45188",27,20,40,28,7,11,14,13,24,30,26,19,-0.339857243319985,1.74620082038042,0.281064076340296,1
"2692","GB45189",268,176,347,239,97,227,99,79,153,236,177,197,-0.0196032073381655,4.75351314091942,0.931982403109663,1
"2693","GB45193",505,295,707,519,295,548,325,220,452,344,158,758,-0.0983809108433156,5.95317333572703,0.743301930774564,1
"2694","GB45194",41,47,67,23,19,20,26,18,34,83,50,16,-0.279245541349223,2.47977013854536,0.441453552210457,1
"2695","GB45197",99,54,114,88,35,42,44,49,65,69,90,58,-0.31971588468798,3.34223261722887,0.261015211735188,1
"2696","GB45199",66,56,165,101,29,62,16,19,65,67,39,122,0.121120355987993,3.19705006841393,0.694943794067053,1
"2697","GB45200",44,40,112,67,33,56,6,24,45,43,40,73,0.192484971314914,2.80230623133742,0.568775765170848,1
"2698","GB45207",236,166,633,325,97,324,160,62,312,356,201,370,0.0589187062201701,5.18503653721942,0.827170501527391,1
"2699","GB45208",290,304,114,184,301,92,211,224,181,503,228,134,-0.216972476652229,5.2443247689588,0.607976812210956,1
"2700","GB45210",216,137,107,109,118,139,156,34,143,209,184,173,0.0670733014448194,4.43024644729334,0.823616963181398,1
"2701","GB45211",8784,7552,8343,9584,4233,5353,7677,3805,7170,9105,8510,6864,-0.237927196308179,10.0857710891546,0.451985342292227,1
"2702","GB45212",157,130,284,160,72,101,52,49,77,96,121,137,-0.127122956239121,4.06900986692036,0.614896446548823,1
"2703","GB45213",31,36,34,28,21,24,30,31,30,57,25,38,-0.315721004668717,2.37823152667744,0.294281987924946,1
"2704","GB45214",251,155,467,247,73,184,117,66,175,218,248,292,-0.00283513678997823,4.83005050688689,0.999487041666377,1
"2705","GB45215",30,25,76,48,15,43,20,7,38,43,31,41,0.130962848112901,2.32538097961989,0.638922965530659,1
"2706","GB45216",61,50,267,94,42,113,27,11,61,61,51,99,0.122627507399841,3.3674378249054,0.683504477325171,1
"2707","GB45217",51,51,116,76,22,68,18,24,21,35,35,43,-0.0484505849405369,2.74818169401946,0.87813793195661,1
"2708","GB45220",259,110,479,225,82,297,131,26,115,163,107,484,0.309624324386426,4.76966653560696,0.391004568644287,1
"2709","GB45221",596,257,1199,548,208,631,443,146,663,732,584,834,0.0273212330637721,6.28631233794148,0.925826367344708,1
"2710","GB45222",264,194,222,212,113,116,89,147,109,165,123,148,-0.45214997653731,4.60240809056413,0.131247362152866,1
"2711","GB45223",37,30,23,35,27,19,18,80,12,24,27,31,-0.892335790567632,2.48444593244376,0.0910576269085465,1
"2712","GB45225",756,660,1754,811,431,1277,555,199,964,957,607,1615,0.168583719589483,6.91327938790416,0.597369557823671,1
"2713","GB45227",41,25,144,59,21,88,25,11,59,51,39,64,0.121877829256161,2.85397732352727,0.707171819621054,1
"2714","GB45228",234,139,353,206,95,151,123,86,166,222,186,241,-0.112655009831208,4.70950738480673,0.594646638687268,1
"2715","GB45229",78,46,94,56,34,54,29,30,47,49,55,51,-0.207229727344793,2.95602988316434,0.427888096820228,1
"2716","GB45230",112,103,124,51,80,55,92,66,67,222,90,113,-0.141111003093699,3.90489499629526,0.637883981673353,1
"2717","GB45235",500,418,239,251,178,170,114,206,144,190,197,230,-0.612222526910805,5.18904387958106,0.0801205527793658,1
"2718","GB45247",930,685,1117,800,467,569,486,213,531,856,664,691,-0.0388015338664187,6.56629177401077,0.884966550898081,1
"2719","GB45248",1083,384,2990,841,401,767,173,122,1291,797,1374,685,-0.0798358728486852,6.86192962879228,0.856225096843869,1
"2720","GB45250",668,461,1406,687,342,705,268,150,623,511,704,587,0.0441286517946095,6.33695655342678,0.869079829975911,1
"2721","GB45251",217,162,558,282,113,302,114,80,290,320,240,340,0.133236479534019,5.10554705274587,0.58723628573653,1
"2722","GB45252",139,102,253,117,78,154,79,98,103,183,97,148,-0.174256786543611,4.25625515971991,0.477956753680862,1
"2723","GB45254",693,519,934,706,324,578,439,342,550,845,621,702,-0.0819711301787008,6.45963000010682,0.743278248884532,1
"2724","GB45256",108,75,203,88,58,108,50,42,134,183,107,129,0.051077995241177,3.92392749225158,0.840495606460893,1
"2725","GB45257",608,453,704,458,349,486,318,184,479,707,503,593,0.0601458793046031,6.1299342816206,0.800855328019198,1
"2726","GB45258",1529,937,2997,1927,906,2506,1092,462,1645,1948,916,2286,0.197060788790667,7.78708804297483,0.531353540391479,1
"2727","GB45259",137,105,262,138,60,126,57,40,78,111,110,145,0.00561104900807913,3.99087712956671,0.975790432176638,1
"2728","GB45260",1152,868,841,750,466,521,377,453,457,611,678,649,-0.341970384696826,6.60964473084389,0.267459816052677,1
"2729","GB45261",989,601,1711,1293,545,1524,547,200,1062,1028,1002,1581,0.416470614072881,7.10903886262721,0.189772814557017,1
"2730","GB45262",42,25,98,42,15,65,17,10,34,50,29,55,0.179692103737957,2.49785493812204,0.554419534039861,1
"2731","GB45263",157,98,191,106,63,109,48,12,92,114,70,168,0.0952865224325572,3.81354652284496,0.717295122433261,1
"2732","GB45265",2671,1836,1368,1141,714,742,261,602,1350,1835,1729,1071,-0.256485492000159,7.51287815562442,0.511437078487138,1
"2733","GB45266",157,74,391,200,78,243,74,62,112,98,117,235,0.16026667936302,4.40126936715302,0.581191048813271,1
"2734","GB45267",447,306,982,540,262,634,263,119,605,731,548,767,0.31983942265543,6.14251456052527,0.248322999513957,1
"2735","GB45270",34,22,59,47,12,30,13,7,35,28,18,37,-0.0394853331035894,2.05737117094096,0.951374349351528,1
"2736","GB45272",70,47,142,87,13,91,20,3,48,41,35,103,0.233843639929652,2.96323115114295,0.53862045394181,1
"2737","GB45274",97,52,159,152,52,214,21,24,91,83,63,115,0.612646857538701,3.70222944021899,0.0628613695475975,1
"2738","GB45275",119,75,126,110,58,73,65,43,114,116,89,94,-0.159189688998876,3.74130144987811,0.491624368452942,1
"2739","GB45277",393,266,878,411,227,634,361,75,352,442,367,807,0.273559569001526,5.89810988445424,0.37262709733161,1
"2740","GB45278",772,1268,1918,891,396,680,330,586,1291,748,377,996,-0.743043863305862,6.94238751846033,0.0432173834419485,1
"2741","GB45279",190,102,196,126,72,132,131,89,151,133,153,173,-0.337058603455843,4.37511354041347,0.155861611671113,1
